,state,capacity_gwh
0,Washington,613127.7573373149
1,Idaho,827560.8674821684
2,Montana,2477870.8024606183
3,Maine,361620.26540532685
4,North Dakota,1394365.4780397597
5,Minnesota,1365276.0077438913
6,Oregon,979454.8257681787
7,Michigan,722756.8643691374
8,New Hampshire,111403.65193056726
9,Vermont,119749.08195479523
10,Wisconsin,814956.9599278518
11,New York,549128.3087124004
12,South Dakota,1658680.5350025434
13,Wyoming,1451200.893387364
14,Massachusetts,35975.8875754872
15,California,660950.9492699973
16,Nevada,534611.0444095514
17,Connecticut,22093.299578944803
18,Rhode Island,6718.1493309408
19,Iowa,1127408.6577553265
20,Pennsylvania,404832.1039682613
21,Nebraska,1710115.6042261152
22,Utah,703890.3862350984
23,New Jersey,21770.199951278395
24,Illinois,720492.1851168494
25,Ohio,489156.7683811468
26,Indiana,388359.8243035417
27,Colorado,1160352.3401048742
28,West Virginia,218459.16004263842
29,Maryland,56201.44470344638
30,Delaware,15137.958907008
31,Missouri,1132053.5809668088
32,Virginia,347892.84761517367
33,Kansas,1466986.5188099376
34,Kentucky,464618.1297628799
35,Arizona,1097165.6516325602
36,North Carolina,398274.6093982416
37,New Mexico,1792899.179451418
38,Tennessee,338115.71311282786
39,Oklahoma,1407479.3407853646
40,Texas,4792869.386671305
41,Arkansas,616289.9611216537
42,South Carolina,274258.36493249016
43,Georgia,559466.2651592448
44,Alabama,523921.8053765879
45,Mississippi,566432.1946423657
46,Louisiana,434911.49082522
47,Florida,212573.39755759184
